DuplicatedImage,OriginalImage
C:\Users\Karina Rocha\SugarcaneLeafDisease\dataset/preprocessing/resizing\healthy_pre_processing\healthy_squared_w_padconstant\healthy_squared_constant_209.png,C:\Users\Karina Rocha\SugarcaneLeafDisease\dataset/preprocessing/resizing\healthy_pre_processing\healthy_squared_w_padconstant\healthy_squared_constant_187.png
C:\Users\Karina Rocha\SugarcaneLeafDisease\dataset/preprocessing/resizing\healthy_pre_processing\healthy_squared_w_padconstant\healthy_squared_constant_210.png,C:\Users\Karina Rocha\SugarcaneLeafDisease\dataset/preprocessing/resizing\healthy_pre_processing\healthy_squared_w_padconstant\healthy_squared_constant_198.png
C:\Users\Karina Rocha\SugarcaneLeafDisease\dataset/preprocessing/resizing\healthy_pre_processing\healthy_squared_w_padconstant\healthy_squared_constant_211.png,C:\Users\Karina Rocha\SugarcaneLeafDisease\dataset/preprocessing/resizing\healthy_pre_processing\healthy_squared_w_padconstant\healthy_squared_constant_190.png
C:\Users\Karina Rocha\SugarcaneLeafDisease\dataset/preprocessing/resizing\healthy_pre_processing\healthy_squared_w_padconstant\healthy_squared_constant_212.png,C:\Users\Karina Rocha\SugarcaneLeafDisease\dataset/preprocessing/resizing\healthy_pre_processing\healthy_squared_w_padconstant\healthy_squared_constant_189.png
C:\Users\Karina Rocha\SugarcaneLeafDisease\dataset/preprocessing/resizing\healthy_pre_processing\healthy_squared_w_padconstant\healthy_squared_constant_213.png,C:\Users\Karina Rocha\SugarcaneLeafDisease\dataset/preprocessing/resizing\healthy_pre_processing\healthy_squared_w_padconstant\healthy_squared_constant_168.png
C:\Users\Karina Rocha\SugarcaneLeafDisease\dataset/preprocessing/resizing\healthy_pre_processing\healthy_squared_w_padconstant\healthy_squared_constant_214.png,C:\Users\Karina Rocha\SugarcaneLeafDisease\dataset/preprocessing/resizing\healthy_pre_processing\healthy_squared_w_padconstant\healthy_squared_constant_157.png
C:\Users\Karina Rocha\SugarcaneLeafDisease\dataset/preprocessing/resizing\healthy_pre_processing\healthy_squared_w_padconstant\healthy_squared_constant_215.png,C:\Users\Karina Rocha\SugarcaneLeafDisease\dataset/preprocessing/resizing\healthy_pre_processing\healthy_squared_w_padconstant\healthy_squared_constant_136.png
C:\Users\Karina Rocha\SugarcaneLeafDisease\dataset/preprocessing/resizing\healthy_pre_processing\healthy_squared_w_padconstant\healthy_squared_constant_254.png,C:\Users\Karina Rocha\SugarcaneLeafDisease\dataset/preprocessing/resizing\healthy_pre_processing\healthy_squared_w_padconstant\healthy_squared_constant_252.png
C:\Users\Karina Rocha\SugarcaneLeafDisease\dataset/preprocessing/resizing\healthy_pre_processing\healthy_squared_w_padconstant\healthy_squared_constant_255.png,C:\Users\Karina Rocha\SugarcaneLeafDisease\dataset/preprocessing/resizing\healthy_pre_processing\healthy_squared_w_padconstant\healthy_squared_constant_253.png
C:\Users\Karina Rocha\SugarcaneLeafDisease\dataset/preprocessing/resizing\healthy_pre_processing\healthy_squared_w_padconstant\healthy_squared_constant_30.png,C:\Users\Karina Rocha\SugarcaneLeafDisease\dataset/preprocessing/resizing\healthy_pre_processing\healthy_squared_w_padconstant\healthy_squared_constant_16.png
C:\Users\Karina Rocha\SugarcaneLeafDisease\dataset/preprocessing/resizing\healthy_pre_processing\healthy_squared_w_padconstant\healthy_squared_constant_392.png,C:\Users\Karina Rocha\SugarcaneLeafDisease\dataset/preprocessing/resizing\healthy_pre_processing\healthy_squared_w_padconstant\healthy_squared_constant_228.png
C:\Users\Karina Rocha\SugarcaneLeafDisease\dataset/preprocessing/resizing\healthy_pre_processing\healthy_squared_w_padconstant\healthy_squared_constant_394.png,C:\Users\Karina Rocha\SugarcaneLeafDisease\dataset/preprocessing/resizing\healthy_pre_processing\healthy_squared_w_padconstant\healthy_squared_constant_229.png
C:\Users\Karina Rocha\SugarcaneLeafDisease\dataset/preprocessing/resizing\healthy_pre_processing\healthy_squared_w_padconstant\healthy_squared_constant_395.png,C:\Users\Karina Rocha\SugarcaneLeafDisease\dataset/preprocessing/resizing\healthy_pre_processing\healthy_squared_w_padconstant\healthy_squared_constant_223.png
C:\Users\Karina Rocha\SugarcaneLeafDisease\dataset/preprocessing/resizing\healthy_pre_processing\healthy_squared_w_padconstant\healthy_squared_constant_396.png,C:\Users\Karina Rocha\SugarcaneLeafDisease\dataset/preprocessing/resizing\healthy_pre_processing\healthy_squared_w_padconstant\healthy_squared_constant_228.png
C:\Users\Karina Rocha\SugarcaneLeafDisease\dataset/preprocessing/resizing\healthy_pre_processing\healthy_squared_w_padconstant\healthy_squared_constant_397.png,C:\Users\Karina Rocha\SugarcaneLeafDisease\dataset/preprocessing/resizing\healthy_pre_processing\healthy_squared_w_padconstant\healthy_squared_constant_226.png
C:\Users\Karina Rocha\SugarcaneLeafDisease\dataset/preprocessing/resizing\healthy_pre_processing\healthy_squared_w_padconstant\healthy_squared_constant_398.png,C:\Users\Karina Rocha\SugarcaneLeafDisease\dataset/preprocessing/resizing\healthy_pre_processing\healthy_squared_w_padconstant\healthy_squared_constant_225.png
C:\Users\Karina Rocha\SugarcaneLeafDisease\dataset/preprocessing/resizing\healthy_pre_processing\healthy_squared_w_padconstant\healthy_squared_constant_399.png,C:\Users\Karina Rocha\SugarcaneLeafDisease\dataset/preprocessing/resizing\healthy_pre_processing\healthy_squared_w_padconstant\healthy_squared_constant_224.png
C:\Users\Karina Rocha\SugarcaneLeafDisease\dataset/preprocessing/resizing\healthy_pre_processing\healthy_squared_w_padconstant\healthy_squared_constant_413.png,C:\Users\Karina Rocha\SugarcaneLeafDisease\dataset/preprocessing/resizing\healthy_pre_processing\healthy_squared_w_padconstant\healthy_squared_constant_264.png
C:\Users\Karina Rocha\SugarcaneLeafDisease\dataset/preprocessing/resizing\healthy_pre_processing\healthy_squared_w_padconstant\healthy_squared_constant_414.png,C:\Users\Karina Rocha\SugarcaneLeafDisease\dataset/preprocessing/resizing\healthy_pre_processing\healthy_squared_w_padconstant\healthy_squared_constant_253.png
C:\Users\Karina Rocha\SugarcaneLeafDisease\dataset/preprocessing/resizing\healthy_pre_processing\healthy_squared_w_padconstant\healthy_squared_constant_420.png,C:\Users\Karina Rocha\SugarcaneLeafDisease\dataset/preprocessing/resizing\healthy_pre_processing\healthy_squared_w_padconstant\healthy_squared_constant_410.png
C:\Users\Karina Rocha\SugarcaneLeafDisease\dataset/preprocessing/resizing\healthy_pre_processing\healthy_squared_w_padconstant\healthy_squared_constant_458.png,C:\Users\Karina Rocha\SugarcaneLeafDisease\dataset/preprocessing/resizing\healthy_pre_processing\healthy_squared_w_padconstant\healthy_squared_constant_407.png
C:\Users\Karina Rocha\SugarcaneLeafDisease\dataset/preprocessing/resizing\healthy_pre_processing\healthy_squared_w_padconstant\healthy_squared_constant_466.png,C:\Users\Karina Rocha\SugarcaneLeafDisease\dataset/preprocessing/resizing\healthy_pre_processing\healthy_squared_w_padconstant\healthy_squared_constant_409.png
C:\Users\Karina Rocha\SugarcaneLeafDisease\dataset/preprocessing/resizing\healthy_pre_processing\healthy_squared_w_padconstant\healthy_squared_constant_480.png,C:\Users\Karina Rocha\SugarcaneLeafDisease\dataset/preprocessing/resizing\healthy_pre_processing\healthy_squared_w_padconstant\healthy_squared_constant_405.png
C:\Users\Karina Rocha\SugarcaneLeafDisease\dataset/preprocessing/resizing\healthy_pre_processing\healthy_squared_w_padconstant\healthy_squared_constant_481.png,C:\Users\Karina Rocha\SugarcaneLeafDisease\dataset/preprocessing/resizing\healthy_pre_processing\healthy_squared_w_padconstant\healthy_squared_constant_403.png
C:\Users\Karina Rocha\SugarcaneLeafDisease\dataset/preprocessing/resizing\healthy_pre_processing\healthy_squared_w_padconstant\healthy_squared_constant_482.png,C:\Users\Karina Rocha\SugarcaneLeafDisease\dataset/preprocessing/resizing\healthy_pre_processing\healthy_squared_w_padconstant\healthy_squared_constant_406.png
C:\Users\Karina Rocha\SugarcaneLeafDisease\dataset/preprocessing/resizing\healthy_pre_processing\healthy_squared_w_padconstant\healthy_squared_constant_492.png,C:\Users\Karina Rocha\SugarcaneLeafDisease\dataset/preprocessing/resizing\healthy_pre_processing\healthy_squared_w_padconstant\healthy_squared_constant_485.png
C:\Users\Karina Rocha\SugarcaneLeafDisease\dataset/preprocessing/resizing\healthy_pre_processing\healthy_squared_w_padconstant\healthy_squared_constant_493.png,C:\Users\Karina Rocha\SugarcaneLeafDisease\dataset/preprocessing/resizing\healthy_pre_processing\healthy_squared_w_padconstant\healthy_squared_constant_488.png
C:\Users\Karina Rocha\SugarcaneLeafDisease\dataset/preprocessing/resizing\healthy_pre_processing\healthy_squared_w_padconstant\healthy_squared_constant_505.png,C:\Users\Karina Rocha\SugarcaneLeafDisease\dataset/preprocessing/resizing\healthy_pre_processing\healthy_squared_w_padconstant\healthy_squared_constant_401.png
C:\Users\Karina Rocha\SugarcaneLeafDisease\dataset/preprocessing/resizing\healthy_pre_processing\healthy_squared_w_padconstant\healthy_squared_constant_507.png,C:\Users\Karina Rocha\SugarcaneLeafDisease\dataset/preprocessing/resizing\healthy_pre_processing\healthy_squared_w_padconstant\healthy_squared_constant_490.png
C:\Users\Karina Rocha\SugarcaneLeafDisease\dataset/preprocessing/resizing\healthy_pre_processing\healthy_squared_w_padconstant\healthy_squared_constant_509.png,C:\Users\Karina Rocha\SugarcaneLeafDisease\dataset/preprocessing/resizing\healthy_pre_processing\healthy_squared_w_padconstant\healthy_squared_constant_484.png
C:\Users\Karina Rocha\SugarcaneLeafDisease\dataset/preprocessing/resizing\healthy_pre_processing\healthy_squared_w_padconstant\healthy_squared_constant_510.png,C:\Users\Karina Rocha\SugarcaneLeafDisease\dataset/preprocessing/resizing\healthy_pre_processing\healthy_squared_w_padconstant\healthy_squared_constant_483.png
C:\Users\Karina Rocha\SugarcaneLeafDisease\dataset/preprocessing/resizing\healthy_pre_processing\healthy_squared_w_padconstant\healthy_squared_constant_511.png,C:\Users\Karina Rocha\SugarcaneLeafDisease\dataset/preprocessing/resizing\healthy_pre_processing\healthy_squared_w_padconstant\healthy_squared_constant_486.png
C:\Users\Karina Rocha\SugarcaneLeafDisease\dataset/preprocessing/resizing\healthy_pre_processing\healthy_squared_w_padconstant\healthy_squared_constant_512.png,C:\Users\Karina Rocha\SugarcaneLeafDisease\dataset/preprocessing/resizing\healthy_pre_processing\healthy_squared_w_padconstant\healthy_squared_constant_487.png
C:\Users\Karina Rocha\SugarcaneLeafDisease\dataset/preprocessing/resizing\healthy_pre_processing\healthy_squared_w_padconstant\healthy_squared_constant_513.png,C:\Users\Karina Rocha\SugarcaneLeafDisease\dataset/preprocessing/resizing\healthy_pre_processing\healthy_squared_w_padconstant\healthy_squared_constant_491.png
C:\Users\Karina Rocha\SugarcaneLeafDisease\dataset/preprocessing/resizing\healthy_pre_processing\healthy_squared_w_padconstant\healthy_squared_constant_514.png,C:\Users\Karina Rocha\SugarcaneLeafDisease\dataset/preprocessing/resizing\healthy_pre_processing\healthy_squared_w_padconstant\healthy_squared_constant_489.png
C:\Users\Karina Rocha\SugarcaneLeafDisease\dataset/preprocessing/resizing\healthy_pre_processing\healthy_squared_w_padedge\healthy_squared_edge_188.png,C:\Users\Karina Rocha\SugarcaneLeafDisease\dataset/preprocessing/resizing\healthy_pre_processing\healthy_squared_w_padedge\healthy_squared_edge_157.png
C:\Users\Karina Rocha\SugarcaneLeafDisease\dataset/preprocessing/resizing\healthy_pre_processing\healthy_squared_w_padedge\healthy_squared_edge_197.png,C:\Users\Karina Rocha\SugarcaneLeafDisease\dataset/preprocessing/resizing\healthy_pre_processing\healthy_squared_w_padedge\healthy_squared_edge_187.png
C:\Users\Karina Rocha\SugarcaneLeafDisease\dataset/preprocessing/resizing\healthy_pre_processing\healthy_squared_w_padedge\healthy_squared_edge_200.png,C:\Users\Karina Rocha\SugarcaneLeafDisease\dataset/preprocessing/resizing\healthy_pre_processing\healthy_squared_w_padedge\healthy_squared_edge_190.png
C:\Users\Karina Rocha\SugarcaneLeafDisease\dataset/preprocessing/resizing\healthy_pre_processing\healthy_squared_w_padedge\healthy_squared_edge_201.png,C:\Users\Karina Rocha\SugarcaneLeafDisease\dataset/preprocessing/resizing\healthy_pre_processing\healthy_squared_w_padedge\healthy_squared_edge_189.png
C:\Users\Karina Rocha\SugarcaneLeafDisease\dataset/preprocessing/resizing\healthy_pre_processing\healthy_squared_w_padedge\healthy_squared_edge_202.png,C:\Users\Karina Rocha\SugarcaneLeafDisease\dataset/preprocessing/resizing\healthy_pre_processing\healthy_squared_w_padedge\healthy_squared_edge_157.png
C:\Users\Karina Rocha\SugarcaneLeafDisease\dataset/preprocessing/resizing\healthy_pre_processing\healthy_squared_w_padedge\healthy_squared_edge_203.png,C:\Users\Karina Rocha\SugarcaneLeafDisease\dataset/preprocessing/resizing\healthy_pre_processing\healthy_squared_w_padedge\healthy_squared_edge_191.png
C:\Users\Karina Rocha\SugarcaneLeafDisease\dataset/preprocessing/resizing\healthy_pre_processing\healthy_squared_w_padedge\healthy_squared_edge_204.png,C:\Users\Karina Rocha\SugarcaneLeafDisease\dataset/preprocessing/resizing\healthy_pre_processing\healthy_squared_w_padedge\healthy_squared_edge_192.png
C:\Users\Karina Rocha\SugarcaneLeafDisease\dataset/preprocessing/resizing\healthy_pre_processing\healthy_squared_w_padedge\healthy_squared_edge_205.png,C:\Users\Karina Rocha\SugarcaneLeafDisease\dataset/preprocessing/resizing\healthy_pre_processing\healthy_squared_w_padedge\healthy_squared_edge_193.png
C:\Users\Karina Rocha\SugarcaneLeafDisease\dataset/preprocessing/resizing\healthy_pre_processing\healthy_squared_w_padedge\healthy_squared_edge_206.png,C:\Users\Karina Rocha\SugarcaneLeafDisease\dataset/preprocessing/resizing\healthy_pre_processing\healthy_squared_w_padedge\healthy_squared_edge_195.png
C:\Users\Karina Rocha\SugarcaneLeafDisease\dataset/preprocessing/resizing\healthy_pre_processing\healthy_squared_w_padedge\healthy_squared_edge_207.png,C:\Users\Karina Rocha\SugarcaneLeafDisease\dataset/preprocessing/resizing\healthy_pre_processing\healthy_squared_w_padedge\healthy_squared_edge_196.png
C:\Users\Karina Rocha\SugarcaneLeafDisease\dataset/preprocessing/resizing\healthy_pre_processing\healthy_squared_w_padedge\healthy_squared_edge_208.png,C:\Users\Karina Rocha\SugarcaneLeafDisease\dataset/preprocessing/resizing\healthy_pre_processing\healthy_squared_w_padedge\healthy_squared_edge_194.png
C:\Users\Karina Rocha\SugarcaneLeafDisease\dataset/preprocessing/resizing\healthy_pre_processing\healthy_squared_w_padedge\healthy_squared_edge_209.png,C:\Users\Karina Rocha\SugarcaneLeafDisease\dataset/preprocessing/resizing\healthy_pre_processing\healthy_squared_w_padedge\healthy_squared_edge_187.png
C:\Users\Karina Rocha\SugarcaneLeafDisease\dataset/preprocessing/resizing\healthy_pre_processing\healthy_squared_w_padedge\healthy_squared_edge_210.png,C:\Users\Karina Rocha\SugarcaneLeafDisease\dataset/preprocessing/resizing\healthy_pre_processing\healthy_squared_w_padedge\healthy_squared_edge_198.png
C:\Users\Karina Rocha\SugarcaneLeafDisease\dataset/preprocessing/resizing\healthy_pre_processing\healthy_squared_w_padedge\healthy_squared_edge_211.png,C:\Users\Karina Rocha\SugarcaneLeafDisease\dataset/preprocessing/resizing\healthy_pre_processing\healthy_squared_w_padedge\healthy_squared_edge_190.png
C:\Users\Karina Rocha\SugarcaneLeafDisease\dataset/preprocessing/resizing\healthy_pre_processing\healthy_squared_w_padedge\healthy_squared_edge_212.png,C:\Users\Karina Rocha\SugarcaneLeafDisease\dataset/preprocessing/resizing\healthy_pre_processing\healthy_squared_w_padedge\healthy_squared_edge_189.png
C:\Users\Karina Rocha\SugarcaneLeafDisease\dataset/preprocessing/resizing\healthy_pre_processing\healthy_squared_w_padedge\healthy_squared_edge_213.png,C:\Users\Karina Rocha\SugarcaneLeafDisease\dataset/preprocessing/resizing\healthy_pre_processing\healthy_squared_w_padedge\healthy_squared_edge_168.png
C:\Users\Karina Rocha\SugarcaneLeafDisease\dataset/preprocessing/resizing\healthy_pre_processing\healthy_squared_w_padedge\healthy_squared_edge_214.png,C:\Users\Karina Rocha\SugarcaneLeafDisease\dataset/preprocessing/resizing\healthy_pre_processing\healthy_squared_w_padedge\healthy_squared_edge_157.png
C:\Users\Karina Rocha\SugarcaneLeafDisease\dataset/preprocessing/resizing\healthy_pre_processing\healthy_squared_w_padedge\healthy_squared_edge_215.png,C:\Users\Karina Rocha\SugarcaneLeafDisease\dataset/preprocessing/resizing\healthy_pre_processing\healthy_squared_w_padedge\healthy_squared_edge_136.png
C:\Users\Karina Rocha\SugarcaneLeafDisease\dataset/preprocessing/resizing\healthy_pre_processing\healthy_squared_w_padedge\healthy_squared_edge_254.png,C:\Users\Karina Rocha\SugarcaneLeafDisease\dataset/preprocessing/resizing\healthy_pre_processing\healthy_squared_w_padedge\healthy_squared_edge_252.png
C:\Users\Karina Rocha\SugarcaneLeafDisease\dataset/preprocessing/resizing\healthy_pre_processing\healthy_squared_w_padedge\healthy_squared_edge_255.png,C:\Users\Karina Rocha\SugarcaneLeafDisease\dataset/preprocessing/resizing\healthy_pre_processing\healthy_squared_w_padedge\healthy_squared_edge_253.png
C:\Users\Karina Rocha\SugarcaneLeafDisease\dataset/preprocessing/resizing\healthy_pre_processing\healthy_squared_w_padedge\healthy_squared_edge_30.png,C:\Users\Karina Rocha\SugarcaneLeafDisease\dataset/preprocessing/resizing\healthy_pre_processing\healthy_squared_w_padedge\healthy_squared_edge_16.png
C:\Users\Karina Rocha\SugarcaneLeafDisease\dataset/preprocessing/resizing\healthy_pre_processing\healthy_squared_w_padedge\healthy_squared_edge_392.png,C:\Users\Karina Rocha\SugarcaneLeafDisease\dataset/preprocessing/resizing\healthy_pre_processing\healthy_squared_w_padedge\healthy_squared_edge_228.png
C:\Users\Karina Rocha\SugarcaneLeafDisease\dataset/preprocessing/resizing\healthy_pre_processing\healthy_squared_w_padedge\healthy_squared_edge_394.png,C:\Users\Karina Rocha\SugarcaneLeafDisease\dataset/preprocessing/resizing\healthy_pre_processing\healthy_squared_w_padedge\healthy_squared_edge_229.png
C:\Users\Karina Rocha\SugarcaneLeafDisease\dataset/preprocessing/resizing\healthy_pre_processing\healthy_squared_w_padedge\healthy_squared_edge_395.png,C:\Users\Karina Rocha\SugarcaneLeafDisease\dataset/preprocessing/resizing\healthy_pre_processing\healthy_squared_w_padedge\healthy_squared_edge_223.png
C:\Users\Karina Rocha\SugarcaneLeafDisease\dataset/preprocessing/resizing\healthy_pre_processing\healthy_squared_w_padedge\healthy_squared_edge_396.png,C:\Users\Karina Rocha\SugarcaneLeafDisease\dataset/preprocessing/resizing\healthy_pre_processing\healthy_squared_w_padedge\healthy_squared_edge_228.png
C:\Users\Karina Rocha\SugarcaneLeafDisease\dataset/preprocessing/resizing\healthy_pre_processing\healthy_squared_w_padedge\healthy_squared_edge_397.png,C:\Users\Karina Rocha\SugarcaneLeafDisease\dataset/preprocessing/resizing\healthy_pre_processing\healthy_squared_w_padedge\healthy_squared_edge_226.png
C:\Users\Karina Rocha\SugarcaneLeafDisease\dataset/preprocessing/resizing\healthy_pre_processing\healthy_squared_w_padedge\healthy_squared_edge_398.png,C:\Users\Karina Rocha\SugarcaneLeafDisease\dataset/preprocessing/resizing\healthy_pre_processing\healthy_squared_w_padedge\healthy_squared_edge_225.png
C:\Users\Karina Rocha\SugarcaneLeafDisease\dataset/preprocessing/resizing\healthy_pre_processing\healthy_squared_w_padedge\healthy_squared_edge_399.png,C:\Users\Karina Rocha\SugarcaneLeafDisease\dataset/preprocessing/resizing\healthy_pre_processing\healthy_squared_w_padedge\healthy_squared_edge_224.png
C:\Users\Karina Rocha\SugarcaneLeafDisease\dataset/preprocessing/resizing\healthy_pre_processing\healthy_squared_w_padedge\healthy_squared_edge_413.png,C:\Users\Karina Rocha\SugarcaneLeafDisease\dataset/preprocessing/resizing\healthy_pre_processing\healthy_squared_w_padedge\healthy_squared_edge_264.png
C:\Users\Karina Rocha\SugarcaneLeafDisease\dataset/preprocessing/resizing\healthy_pre_processing\healthy_squared_w_padedge\healthy_squared_edge_414.png,C:\Users\Karina Rocha\SugarcaneLeafDisease\dataset/preprocessing/resizing\healthy_pre_processing\healthy_squared_w_padedge\healthy_squared_edge_253.png
C:\Users\Karina Rocha\SugarcaneLeafDisease\dataset/preprocessing/resizing\healthy_pre_processing\healthy_squared_w_padedge\healthy_squared_edge_420.png,C:\Users\Karina Rocha\SugarcaneLeafDisease\dataset/preprocessing/resizing\healthy_pre_processing\healthy_squared_w_padedge\healthy_squared_edge_410.png
C:\Users\Karina Rocha\SugarcaneLeafDisease\dataset/preprocessing/resizing\healthy_pre_processing\healthy_squared_w_padedge\healthy_squared_edge_458.png,C:\Users\Karina Rocha\SugarcaneLeafDisease\dataset/preprocessing/resizing\healthy_pre_processing\healthy_squared_w_padedge\healthy_squared_edge_407.png
C:\Users\Karina Rocha\SugarcaneLeafDisease\dataset/preprocessing/resizing\healthy_pre_processing\healthy_squared_w_padedge\healthy_squared_edge_466.png,C:\Users\Karina Rocha\SugarcaneLeafDisease\dataset/preprocessing/resizing\healthy_pre_processing\healthy_squared_w_padedge\healthy_squared_edge_409.png
C:\Users\Karina Rocha\SugarcaneLeafDisease\dataset/preprocessing/resizing\healthy_pre_processing\healthy_squared_w_padedge\healthy_squared_edge_480.png,C:\Users\Karina Rocha\SugarcaneLeafDisease\dataset/preprocessing/resizing\healthy_pre_processing\healthy_squared_w_padedge\healthy_squared_edge_405.png
C:\Users\Karina Rocha\SugarcaneLeafDisease\dataset/preprocessing/resizing\healthy_pre_processing\healthy_squared_w_padedge\healthy_squared_edge_481.png,C:\Users\Karina Rocha\SugarcaneLeafDisease\dataset/preprocessing/resizing\healthy_pre_processing\healthy_squared_w_padedge\healthy_squared_edge_403.png
C:\Users\Karina Rocha\SugarcaneLeafDisease\dataset/preprocessing/resizing\healthy_pre_processing\healthy_squared_w_padedge\healthy_squared_edge_482.png,C:\Users\Karina Rocha\SugarcaneLeafDisease\dataset/preprocessing/resizing\healthy_pre_processing\healthy_squared_w_padedge\healthy_squared_edge_406.png
C:\Users\Karina Rocha\SugarcaneLeafDisease\dataset/preprocessing/resizing\healthy_pre_processing\healthy_squared_w_padedge\healthy_squared_edge_492.png,C:\Users\Karina Rocha\SugarcaneLeafDisease\dataset/preprocessing/resizing\healthy_pre_processing\healthy_squared_w_padedge\healthy_squared_edge_485.png
C:\Users\Karina Rocha\SugarcaneLeafDisease\dataset/preprocessing/resizing\healthy_pre_processing\healthy_squared_w_padedge\healthy_squared_edge_493.png,C:\Users\Karina Rocha\SugarcaneLeafDisease\dataset/preprocessing/resizing\healthy_pre_processing\healthy_squared_w_padedge\healthy_squared_edge_488.png
C:\Users\Karina Rocha\SugarcaneLeafDisease\dataset/preprocessing/resizing\healthy_pre_processing\healthy_squared_w_padedge\healthy_squared_edge_505.png,C:\Users\Karina Rocha\SugarcaneLeafDisease\dataset/preprocessing/resizing\healthy_pre_processing\healthy_squared_w_padedge\healthy_squared_edge_401.png
C:\Users\Karina Rocha\SugarcaneLeafDisease\dataset/preprocessing/resizing\healthy_pre_processing\healthy_squared_w_padedge\healthy_squared_edge_507.png,C:\Users\Karina Rocha\SugarcaneLeafDisease\dataset/preprocessing/resizing\healthy_pre_processing\healthy_squared_w_padedge\healthy_squared_edge_490.png
C:\Users\Karina Rocha\SugarcaneLeafDisease\dataset/preprocessing/resizing\healthy_pre_processing\healthy_squared_w_padedge\healthy_squared_edge_509.png,C:\Users\Karina Rocha\SugarcaneLeafDisease\dataset/preprocessing/resizing\healthy_pre_processing\healthy_squared_w_padedge\healthy_squared_edge_484.png
C:\Users\Karina Rocha\SugarcaneLeafDisease\dataset/preprocessing/resizing\healthy_pre_processing\healthy_squared_w_padedge\healthy_squared_edge_510.png,C:\Users\Karina Rocha\SugarcaneLeafDisease\dataset/preprocessing/resizing\healthy_pre_processing\healthy_squared_w_padedge\healthy_squared_edge_483.png
